====================
Fold 0
X_of_N_1 (X-of-N): 1.9377438990035718
X_of_N_41 (X-of-N): 1.7506396005430125
X_of_N_25 (X-of-N): 1.7323180676474867
X_of_N_30 (X-of-N): 1.4866587965152411
X_of_N_37 (X-of-N): 1.4636535706210616
X_of_N_42 (X-of-N): 1.3703980472829622
X_of_N_18 (X-of-N): 1.3129956052659415
X_of_N_13 (X-of-N): 1.255738223970895
X_of_N_9 (X-of-N): 1.2437531481877144
REACTOME.2....Immune.System (X-of-N): 1.236549104300985
KEGG.15....Proteoglycans.in.cancer (X-of-N): 1.1676808310361715
X_of_N_7 (X-of-N): 1.1648296807503682
X_of_N_47 (X-of-N): 1.1329897438937895
KEGG.180....Ubiquinone.and.other.terpenoid.quinone.biosynthesis (X-of-N): 1.1016904492799697
X_of_N_33 (X-of-N): 1.066888830332157
X_of_N_31 (X-of-N): 0.9008467303360195
X_of_N_26 (X-of-N): 0.87474525952633
X_of_N_10 (X-of-N): 0.8244784440888163
X_of_N_36 (X-of-N): 0.7676787359121483
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 0.7524586432291342
X_of_N_15 (X-of-N): 0.7239019989747675
X_of_N_39 (X-of-N): 0.7051124903325712
X_of_N_28 (X-of-N): 0.6344566491411137
ACSN2.22....ER_STRESS (X-of-N): 0.6170403215352271
X_of_N_17 (X-of-N): 0.6024771848067333
X_of_N_44 (X-of-N): 0.5944508755351325
X_of_N_11 (X-of-N): 0.5664295942999218
OntoCancro....Expanded.Apoptosis (X-of-N): 0.5193705414664139
X_of_N_23 (X-of-N): 0.5170296504116049
REACTOME.22....Neutrophil.degranulation (X-of-N): 0.5049813908252935
WikiPathways.23....Ciliary.landscape (X-of-N): 0.49317264898464297
X_of_N_40 (X-of-N): 0.48098990348482606
REACTOME.11....Infectious.disease (X-of-N): 0.42799326180675384
WikiPathways.3....MAPK.Signaling (X-of-N): 0.3561305781746409
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 0.34418415208610437
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.31459017410767165
X_of_N_22 (X-of-N): 0.31191562798781763
X_of_N_14 (X-of-N): 0.3099263653669772
REACTOME.56....RAF.MAP.kinase.cascade (X-of-N): 0.30789893268545576
REACTOME.5....RNA.Polymerase.II.Transcription (X-of-N): 0.29966804260770985
INOH....JAK.STAT.pathway.and.regulation (X-of-N): 0.28599464940414004
WikiPathways.30....Amino.Acid.metabolism (X-of-N): 0.2857138673965001
X_of_N_8 (X-of-N): 0.2825671594265777
====================
Fold 6
X_of_N_13 (X-of-N): 19.641338251360786
X_of_N_18 (X-of-N): 16.47058275894642
X_of_N_12 (X-of-N): 9.521252020287013
X_of_N_19 (X-of-N): 3.5028366346772666
X_of_N_37 (X-of-N): 1.8163889460067362
X_of_N_25 (X-of-N): 1.7505857080637244
X_of_N_16 (X-of-N): 1.6657724343033644
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 1.2099806778341988
X_of_N_22 (X-of-N): 0.9552009034075187
X_of_N_5 (X-of-N): 0.9453711167776608
KEGG.57....AGE.RAGE.signaling.pathway.in.diabetic.complications (X-of-N): 0.9453111191103375
REACTOME.11....Infectious.disease (X-of-N): 0.9173674884594489
X_of_N_11 (X-of-N): 0.8086104348450247
REACTOME.27....rRNA.processing (X-of-N): 0.7570601067833798
REACTOME....Metabolism (X-of-N): 0.6893798946655112
X_of_N_35 (X-of-N): 0.6742008717340306
REACTOME.8....Metabolism.of.RNA (X-of-N): 0.5924453633401905
X_of_N_33 (X-of-N): 0.5887906697684301
REACTOME.54....MAPK1.MAPK3.signaling (X-of-N): 0.5842710918842458
X_of_N_17 (X-of-N): 0.55351599274925
X_of_N_39 (X-of-N): 0.5365305986840853
X_of_N_4 (X-of-N): 0.5284810721991858
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 0.4773114869888706
OntoCancro.1....Apoptosis (X-of-N): 0.4207865991971943
IPAVS.9....GSK3beta_regulation_by_signaling (X-of-N): 0.4134836797663105
X_of_N_32 (X-of-N): 0.38942196415483743
X_of_N_7 (X-of-N): 0.3680205203750075
X_of_N_23 (X-of-N): 0.36741034617729157
X_of_N_40 (X-of-N): 0.3543977694776704
WikiPathways.92....Synaptic.Vesicle (X-of-N): 0.35431897045203276
REACTOME.121....Regulation.of.HSF1.mediated.heat.shock.response (X-of-N): 0.34835574725657675
X_of_N_9 (X-of-N): 0.33441184182323935
REACTOME.26....Influenza.Infection (X-of-N): 0.3262167844694176
X_of_N_20 (X-of-N): 0.31113916748561615
KEGG.41....Focal.adhesion (X-of-N): 0.292812023024704
WikiPathways.87....IL.5.Signaling (X-of-N): 0.2897667492663682
WikiPathways.56....DNA.IR.damage.and.cellular.response.via.ATR (X-of-N): 0.2895133981795832
SMPDB.112....Acetaminophen.Metabolism.Pathway (X-of-N): 0.2893959147414358
REACTOME.71....Fatty.acid.metabolism (X-of-N): 0.28712086486616534
ACSN2.2....EMT_REGULATORS (X-of-N): 0.2735882974707904
REACTOME.49....Axon.guidance (X-of-N): 0.2716382255104318
ACSN2.22....ER_STRESS (X-of-N): 0.25782439361042403
REACTOME.270....Glyoxylate.metabolism.and.glycine.degradation (X-of-N): 0.25332758599369837
NetPath.2....TCR (X-of-N): 0.24812984878047215
REACTOME.250....Endosomal.Sorting.Complex.Required.For.Transport..ESCRT. (X-of-N): 0.24663609290375924
REACTOME.35....Formation.of.a.pool.of.free.40S.subunits (X-of-N): 0.23819907099680426
KEGG.71....Pancreatic.cancer (X-of-N): 0.23792821393022684
EHMN.5....Arachidonic.acid.metabolism (X-of-N): 0.23509683995624672
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.23503994766598058
X_of_N_2 (X-of-N): 0.23091498633000473
====================
Fold 7
X_of_N_20 (X-of-N): 32.463829324274094
X_of_N_7 (X-of-N): 9.457902982495437
X_of_N_22 (X-of-N): 3.696673851056709
X_of_N_17 (X-of-N): 3.5960098738875486
X_of_N_5 (X-of-N): 2.3547126335868365
X_of_N_23 (X-of-N): 2.195144145178883
REACTOME....Metabolism (X-of-N): 1.9413993602898554
X_of_N_13 (X-of-N): 1.5947608375485325
X_of_N_35 (X-of-N): 1.3617101441240371
WikiPathways.23....Ciliary.landscape (X-of-N): 1.3522279972591809
X_of_N_12 (X-of-N): 1.2436567432387795
X_of_N_33 (X-of-N): 1.1339631996604085
REACTOME.235....Ion.homeostasis (X-of-N): 1.0363687470346539
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.9290011251335268
IPAVS.17....perk (X-of-N): 0.8714276333739767
X_of_N_31 (X-of-N): 0.8533971586698541
X_of_N_25 (X-of-N): 0.7736913141930717
X_of_N_9 (X-of-N): 0.7489827636435508
ACSN2.22....ER_STRESS (X-of-N): 0.6018632862754716
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 0.5782370112162535
X_of_N_6 (X-of-N): 0.5700766516901782
X_of_N_19 (X-of-N): 0.5629551505829408
X_of_N_29 (X-of-N): 0.5239870052228007
REACTOME.250....Endosomal.Sorting.Complex.Required.For.Transport..ESCRT. (X-of-N): 0.5226781684202222
X_of_N_10 (X-of-N): 0.5142661618591178
X_of_N_27 (X-of-N): 0.49609324671982497
X_of_N_4 (X-of-N): 0.48657251109786714
X_of_N_11 (X-of-N): 0.45033074192531974
KEGG.97....Lysosome (X-of-N): 0.4104163364402035
REACTOME.30....L13a.mediated.translational.silencing.of.Ceruloplasmin.expression (X-of-N): 0.4093684955745701
OntoCancro....Expanded.Apoptosis (X-of-N): 0.4085299851107442
X_of_N_2 (X-of-N): 0.3732456847576821
KEGG.57....AGE.RAGE.signaling.pathway.in.diabetic.complications (X-of-N): 0.36498636149209185
ACSN2.31....DEPENDANCE_RECEPTORS (X-of-N): 0.36095487178069807
X_of_N_32 (X-of-N): 0.36017566433490855
X_of_N_18 (X-of-N): 0.3530824845209733
KEGG.162....Legionellosis (X-of-N): 0.3425831160706006
X_of_N_26 (X-of-N): 0.33867071399832677
REACTOME.29....GTP.hydrolysis.and.joining.of.the.60S.ribosomal.subunit (X-of-N): 0.3355122913755916
Panther_Pathway.12....Apoptosis_signaling (X-of-N): 0.331084689848586
X_of_N_8 (X-of-N): 0.32427522002178544
WikiPathways.82....Tryptophan.metabolism (X-of-N): 0.2972331080278241
X_of_N_16 (X-of-N): 0.29137525714421336
REACTOME.47....HIV.Infection (X-of-N): 0.28224180214276745
INOH.10....Tryptophan.degradation (X-of-N): 0.27418023177622064
X_of_N_3 (X-of-N): 0.2695087393520786
ACSN2.1....WNT_NON_CANONICAL (X-of-N): 0.26170018908182585
REACTOME.11....Infectious.disease (X-of-N): 0.2581864274797564
SMPDB.112....Acetaminophen.Metabolism.Pathway (X-of-N): 0.25590277163127845
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 0.25096454825178177
====================
Fold 8
X_of_N_1 (X-of-N): 12.092561515299655
X_of_N_32 (X-of-N): 9.084836228043713
X_of_N_34 (X-of-N): 7.51384935018761
X_of_N_20 (X-of-N): 6.820065362267203
X_of_N_27 (X-of-N): 3.848381702818625
X_of_N_3 (X-of-N): 3.0854731413563745
X_of_N_7 (X-of-N): 2.356906173737817
X_of_N_39 (X-of-N): 2.3526845646770176
X_of_N_35 (X-of-N): 1.9750969836795331
X_of_N_5 (X-of-N): 1.9581041281247193
X_of_N_6 (X-of-N): 1.6040031638247751
X_of_N_37 (X-of-N): 1.5922023149887474
X_of_N_40 (X-of-N): 1.3881103368505145
WikiPathways.23....Ciliary.landscape (X-of-N): 1.3755024181338822
KEGG.180....Ubiquinone.and.other.terpenoid.quinone.biosynthesis (X-of-N): 1.3477190388576077
X_of_N_33 (X-of-N): 1.036977906397328
X_of_N_14 (X-of-N): 1.0298358934250358
X_of_N_19 (X-of-N): 0.9922806570263522
X_of_N_30 (X-of-N): 0.9729177789079979
X_of_N_38 (X-of-N): 0.9615019498281175
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 0.9522096537397987
X_of_N_9 (X-of-N): 0.9518499734186776
X_of_N_17 (X-of-N): 0.9414791385540535
X_of_N_31 (X-of-N): 0.9366177467396004
X_of_N_21 (X-of-N): 0.9206845691155049
X_of_N_16 (X-of-N): 0.8737954137006309
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 0.6713176613958137
X_of_N_15 (X-of-N): 0.6477674619813476
KEGG.1....Thermogenesis (X-of-N): 0.612199268406842
X_of_N_29 (X-of-N): 0.5582740263495648
WikiPathways.69....Parkin.Ubiquitin.Proteasomal.System (X-of-N): 0.54755751131757
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.5460787538095776
X_of_N_10 (X-of-N): 0.49644737779609577
REACTOME.235....Ion.homeostasis (X-of-N): 0.4680750743148544
X_of_N_13 (X-of-N): 0.4618822752332814
X_of_N_28 (X-of-N): 0.4054132327424525
X_of_N_45 (X-of-N): 0.4041970206655423
X_of_N_8 (X-of-N): 0.3891172365592493
KEGG.47....Protein.processing.in.endoplasmic.reticulum (X-of-N): 0.3537021691807528
X_of_N_24 (X-of-N): 0.3467212741170408
REACTOME.13....Cytokine.Signaling.in.Immune.system (X-of-N): 0.34058017020857784
X_of_N_44 (X-of-N): 0.33191934356640473
REACTOME.168....Regulation.of.RAS.by.GAPs (X-of-N): 0.33091798863330363
X_of_N_47 (X-of-N): 0.3058921784632517
X_of_N_11 (X-of-N): 0.30479165419294113
systems.biology.org.5....Toll.Like_receptor_signaling_network (X-of-N): 0.30030157989515865
X_of_N_36 (X-of-N): 0.29493228889615086
X_of_N_18 (X-of-N): 0.28960536686886706
X_of_N_46 (X-of-N): 0.2840593869415725
X_of_N_23 (X-of-N): 0.2785296446030019
====================
Fold 9
X_of_N_14 (X-of-N): 14.800868852039011
X_of_N_26 (X-of-N): 9.935267864854369
X_of_N_44 (X-of-N): 8.108067523315556
REACTOME....Metabolism (X-of-N): 4.161477655407779
X_of_N_15 (X-of-N): 3.99322687754928
X_of_N_37 (X-of-N): 3.7259321791480327
X_of_N_4 (X-of-N): 2.3390770504367446
X_of_N_8 (X-of-N): 1.7232353417722148
X_of_N_46 (X-of-N): 1.7077494208597574
